No.,Order ID,#,Store ID,Store Name,Order Complete Time,Order Amount,Merchant Service Fee,PB1,Merchant Surcharge,Merchant Food Discount,Merchant Shipping Fee Subsidy,Commission,Net Income
1,617459934629888855,#36,1208304,Bube - Raffles Cibubur,04/08/2021 11:50:35,96000,0,0,0,0,0,19200,76800
2,617611953115136419,#37,1208304,Bube - Raffles Cibubur,04/08/2021 14:25:23,56000,0,0,0,0,0,11200,44800
3,617690428870656410,#38,1208304,Bube - Raffles Cibubur,04/08/2021 15:53:38,100000,0,0,0,0,0,20000,80000
